UniversityID,SubsystemDescription,MonthNum,ml_risk,hist_asset_rate,hist_shock_rate,coverage
10,Distribution Systems,3,0.014739842,0.0182328190743338,0.016830294530154277,1426
10,Distribution Systems,4,0.018839944,0.020275162925416364,0.00724112961622013,1381
10,Distribution Systems,5,0.024818713,0.02945736434108527,0.013953488372093023,1290
10,Distribution Systems,6,0.022337956,0.024634334103156273,0.008468052347959968,1299
10,Distribution Systems,7,0.031406794,0.03445635528330781,0.018376722817764167,1306
10,Distribution Systems,8,0.029761788,0.03508771929824561,0.009153318077803204,1311
10,Distribution Systems,9,0.021451963,0.03445635528330781,0.01225114854517611,1306
10,Distribution Systems,10,0.01678012,0.037347560975609755,0.01600609756097561,1312
10,Distribution Systems,11,0.020497292,0.0409711684370258,0.015933232169954476,1318
10,Distribution Systems,12,0.01436317,0.0256797583081571,0.011329305135951661,1324
10,Domestic Water Distribution,1,0.116829515,0.1631054131054131,0.010683760683760684,1404
10,Domestic Water Distribution,2,0.12319314,0.1732776617954071,0.018789144050104383,1437
10,Domestic Water Distribution,3,0.124592215,0.16153319644079397,0.006160164271047228,1461
10,Domestic Water Distribution,4,0.11200407,0.14265335235378032,0.0042796005706134095,1402
10,Domestic Water Distribution,5,0.11505875,0.15037593984962405,0.014285714285714285,1330
10,Domestic Water Distribution,6,0.1244585,0.1671664167916042,0.009745127436281859,1334
10,Domestic Water Distribution,7,0.12032197,0.1699248120300752,0.009774436090225564,1330
10,Domestic Water Distribution,8,0.13557632,0.18592592592592594,0.007407407407407408,1350
10,Domestic Water Distribution,9,0.1211424,0.17134416543574593,0.013293943870014771,1354
10,Domestic Water Distribution,10,0.12428412,0.1625,0.013970588235294118,1360
10,Domestic Water Distribution,11,0.09892155,0.13333333333333333,0.004395604395604396,1365
10,Domestic Water Distribution,12,0.07771909,0.09784172661870504,0.007194244604316547,1390
10,Electrical Service & Distribution,1,0.0071551846,0.007142857142857143,0.07142857142857142,700
10,Electrical Service & Distribution,2,0.004237653,0.004225352112676056,0.08450704225352113,710
10,Electrical Service & Distribution,3,0.0040719183,0.0040595399188092015,0.04194857916102842,739
10,Electrical Service & Distribution,4,0.008253736,0.008241758241758242,0.042582417582417584,728
10,Electrical Service & Distribution,5,0.004099452,0.004087193460490463,0.031335149863760216,734
10,Electrical Service & Distribution,6,0.004066387,0.005405405405405406,0.04054054054054054,740
10,Electrical Service & Distribution,7,0.0096012205,0.009589041095890411,0.03972602739726028,730
10,Electrical Service & Distribution,8,0.008242792,0.00823045267489712,0.05075445816186557,729
10,Electrical Service & Distribution,9,0.008391228,0.008379888268156424,0.040502793296089384,716
10,Electrical Service & Distribution,10,0.007023595,0.0070126227208976155,0.05750350631136045,713
10,Electrical Service & Distribution,11,0.008461568,0.009859154929577466,0.04647887323943662,710
10,Electrical Service & Distribution,12,0.009997364,0.009985734664764621,0.042796005706134094,701
10,Elevators & Lifts,1,1.1128483e-05,0.0,0.0021929824561403508,456
10,Elevators & Lifts,2,0.0022039863,0.0021929824561403508,0.0043859649122807015,456
10,Elevators & Lifts,3,1.1217053e-05,0.0,0.0022222222222222222,450
10,Elevators & Lifts,4,1.1169468e-05,0.0,0.0,436
10,Elevators & Lifts,5,1.1213989e-05,0.0,0.0045351473922902496,441
10,Elevators & Lifts,6,1.0992218e-05,0.0,0.0022675736961451248,441
10,Elevators & Lifts,7,0.0022680466,0.002257336343115124,0.004514672686230248,443
10,Elevators & Lifts,8,0.0022530125,0.002242152466367713,0.004484304932735426,446
10,Elevators & Lifts,9,1.0716337e-05,0.0,0.0022727272727272726,440
10,Elevators & Lifts,10,1.0495187e-05,0.0,0.006787330316742082,442
10,Elevators & Lifts,11,0.0022831596,0.0022727272727272726,0.004545454545454545,440
10,Elevators & Lifts,12,0.0022630065,0.0022522522522522522,0.0,444
10,Energy Supply,1,0.050009668,0.05,0.05,20
10,Energy Supply,2,1.2283798e-05,0.0,0.0,20
10,Energy Supply,3,0.05000958,0.05,0.0,20
10,Energy Supply,4,1.28503225e-05,0.0,0.05555555555555555,18
10,Energy Supply,5,1.24454955e-05,0.0,0.0,15
10,Energy Supply,6,0.1666705,0.16666666666666666,0.0,18
10,Energy Supply,7,1.1760257e-05,0.0,0.0,17
10,Energy Supply,8,1.2167362e-05,0.0,0.0625,16
10,Energy Supply,9,1.1509834e-05,0.0,0.0,16
10,Energy Supply,10,1.1410194e-05,0.0,0.05555555555555555,18
10,Energy Supply,11,0.050008953,0.05,0.0,20
10,Energy Supply,12,1.1618642e-05,0.0,0.0,19
10,Escalators & Moving Walks,12,1.02319655e-05,0.0,0.0,1
10,Exterior Doors,1,0.002093536,0.002081165452653486,0.009365244536940686,961
10,Exterior Doors,2,0.0031568764,0.0041928721174004195,0.023060796645702306,954
10,Exterior Doors,3,0.00617877,0.006166495375128468,0.012332990750256937,973
10,Exterior Doors,4,0.0042361217,0.005279831045406547,0.01900739176346357,947
10,Exterior Doors,5,0.006540851,0.006528835690968444,0.009793253536452665,919
10,Exterior Doors,6,0.0021674747,0.0021551724137931034,0.010775862068965518,928
10,Exterior Doors,7,0.0053482195,0.005336179295624333,0.008537886872998933,937
10,Exterior Doors,8,0.0042138617,0.004201680672268907,0.004201680672268907,952
10,Exterior Doors,9,0.004178162,0.004166666666666667,0.007291666666666667,960
10,Exterior Doors,10,0.0031166119,0.003105590062111801,0.011387163561076604,966
10,Exterior Doors,11,0.0040884344,0.004077471967380225,0.00815494393476045,981
10,Exterior Doors,12,0.0020994951,0.0020876826722338203,0.006263048016701462,958
10,Exterior Walls,1,1.3044423e-05,0.0,0.03225806451612903,31
10,Exterior Walls,2,0.02632756,0.02631578947368421,0.02631578947368421,38
10,Exterior Walls,3,1.3323667e-05,0.0,0.0,37
10,Exterior Walls,4,1.2824471e-05,0.0,0.0,32
10,Exterior Walls,5,0.027789861,0.027777777777777776,0.0,36
10,Exterior Walls,6,1.2997386e-05,0.0,0.02857142857142857,35
10,Exterior Walls,7,1.18526095e-05,0.0,0.0,26
10,Exterior Walls,8,1.1893688e-05,0.0,0.0,27
10,Exterior Walls,9,1.1957011e-05,0.0,0.0,28
10,Exterior Walls,10,1.2342949e-05,0.0,0.03125,32
10,Exterior Walls,11,1.2034746e-05,0.0,0.03125,32
10,Exterior Walls,12,1.303515e-05,0.0,0.0,28
10,Exterior Windows,1,0.00371652,0.003703703703703704,0.14814814814814814,270
10,Exterior Windows,2,0.018951304,0.01893939393939394,0.1590909090909091,264
10,Exterior Windows,3,0.0153381135,0.01532567049808429,0.1724137931034483,261
10,Exterior Windows,4,0.011333319,0.011320754716981131,0.11320754716981132,265
10,Exterior Windows,5,0.014827295,0.014814814814814815,0.21481481481481482,270
10,Exterior Windows,6,0.03691111,0.03690036900369004,0.14760147601476015,271
10,Exterior Windows,7,0.007587535,0.007575757575757576,0.10227272727272728,264
10,Exterior Windows,8,0.018393908,0.01838235294117647,0.16544117647058823,272
10,Exterior Windows,9,0.010920565,0.014545454545454545,0.12727272727272726,275
10,Exterior Windows,10,0.031925365,0.03900709219858156,0.20212765957446807,282
10,Exterior Windows,11,0.0036882847,0.003676470588235294,0.12867647058823528,272
10,Exterior Windows,12,0.0147175705,0.014705882352941176,0.11764705882352941,272
10,Fire Protection Specialities,1,0.016054286,0.016042780748663103,0.0053475935828877,187
10,Fire Protection Specialities,2,0.0051668687,0.005154639175257732,0.015463917525773196,194
10,Fire Protection Specialities,3,0.010062343,0.010050251256281407,0.04522613065326633,199
10,Fire Protection Specialities,4,0.0052206744,0.005208333333333333,0.005208333333333333,192
10,Fire Protection Specialities,5,1.2570188e-05,0.0,0.010752688172043012,186
10,Fire Protection Specialities,6,0.010483058,0.010471204188481676,0.0,191
10,Fire Protection Specialities,7,0.0052749068,0.005263157894736842,0.005263157894736842,190
10,Fire Protection Specialities,8,1.2198197e-05,0.0,0.010050251256281407,199
10,Fire Protection Specialities,9,0.0050365236,0.005025125628140704,0.005025125628140704,199
10,Fire Protection Specialities,10,0.0050616157,0.005050505050505051,0.0,198
10,Fire Protection Specialities,11,0.010373486,0.010362694300518135,0.010362694300518135,193
10,Fire Protection Specialities,12,1.18993985e-05,0.0,0.0,192
10,Fittings,1,1.2889931e-05,0.0,0.0,12
10,Fittings,2,1.2814469e-05,0.0,0.0,13
10,Fittings,3,0.062510684,0.0625,0.0,16
10,Fittings,4,1.3740242e-05,0.0,0.0,17
10,Fittings,5,1.4126061e-05,0.0,0.0,16
10,Fittings,6,0.07693256,0.07692307692307693,0.0,13
10,Fittings,7,1.35734235e-05,0.0,0.0,13
10,Fittings,8,1.3678211e-05,0.0,0.14285714285714285,14
10,Fittings,9,1.3274129e-05,0.0,0.0,14
10,Fittings,10,1.2811413e-05,0.0,0.0,13
10,Fittings,11,1.2181953e-05,0.0,0.0,12
10,Fittings,12,1.2736247e-05,0.0,0.0,12
10,Fixed Furnishings,1,0.0067241183,0.006711409395973154,0.11073825503355705,298
10,Fixed Furnishings,2,0.009979195,0.009966777408637873,0.09302325581395349,301
10,Fixed Furnishings,3,0.009506473,0.012658227848101266,0.10443037974683544,316
10,Fixed Furnishings,4,0.016089693,0.01607717041800643,0.07395498392282958,311
10,Fixed Furnishings,5,0.0066354056,0.013245033112582781,0.056291390728476824,302
10,Fixed Furnishings,6,0.00981646,0.00980392156862745,0.05555555555555555,306
10,Fixed Furnishings,7,0.0064638653,0.0064516129032258064,0.04838709677419355,310
10,Fixed Furnishings,8,0.009627719,0.01282051282051282,0.060897435897435896,312
10,Fixed Furnishings,9,0.012750515,0.012738853503184714,0.06369426751592357,314
10,Fixed Furnishings,10,0.012750033,0.012738853503184714,0.06050955414012739,314
10,Fixed Furnishings,11,0.013300365,0.013289036544850499,0.07973421926910298,301
10,Fixed Furnishings,12,0.006634947,0.006622516556291391,0.076158940397351,302
10,Floor Construction,1,1.2320937e-05,0.0,0.0,1
10,Floor Construction,2,1.507918e-05,0.0,0.0,1
10,Floor Construction,3,1.2277386e-05,0.0,0.0,1
10,Floor Construction,5,0.4999923,0.5,0.0,2
10,Floor Construction,8,1.4807446e-05,0.0,0.0,2
10,Floor Construction,9,1.1174596e-05,0.0,0.0,1
10,Floor Construction,10,1.090781e-05,0.0,0.0,1
10,Floor Construction,12,1.1250977e-05,0.0,0.0,1
10,Floor Finishes,1,0.021910543,0.021897810218978103,0.04744525547445255,274
10,Floor Finishes,2,0.011002224,0.01098901098901099,0.03296703296703297,273
10,Floor Finishes,3,0.02546718,0.025454545454545455,0.02909090909090909,275
10,Floor Finishes,4,0.024747428,0.03180212014134275,0.028268551236749116,283
10,Floor Finishes,5,0.02818124,0.028169014084507043,0.035211267605633804,284
10,Floor Finishes,6,0.020773549,0.020761245674740483,0.04152249134948097,289
10,Floor Finishes,7,0.013853037,0.01384083044982699,0.02768166089965398,289
10,Floor Finishes,8,0.034257714,0.03767123287671233,0.05821917808219178,292
10,Floor Finishes,9,0.024572514,0.02456140350877193,0.03508771929824561,285
10,Floor Finishes,10,0.03461244,0.04152249134948097,0.04152249134948097,289
10,Floor Finishes,11,0.03874303,0.03873239436619718,0.02112676056338028,284
10,Floor Finishes,12,0.021990217,0.02564102564102564,0.01098901098901099,273
10,General,1,0.009078012,0.012692656391659111,0.0027198549410698096,1103
10,General,2,0.00694406,0.006932409012131715,0.016464471403812825,1154
10,General,3,0.00947809,0.013769363166953529,0.0189328743545611,1162
10,General,4,0.0043521198,0.006944444444444444,0.004340277777777778,1152
10,General,5,0.0071798926,0.008064516129032258,0.011648745519713262,1116
10,General,6,0.0045158803,0.005405405405405406,0.0036036036036036037,1110
10,General,7,0.0116702495,0.012556053811659192,0.008968609865470852,1115
10,General,8,0.008916097,0.009795191451469279,0.007123775601068566,1123
10,General,9,0.0071346797,0.007123775601068566,0.008014247551202136,1123
10,General,10,0.007960949,0.007950530035335688,0.014134275618374558,1132
10,General,11,0.007096576,0.0070859167404783,0.0070859167404783,1129
10,General,12,0.00452422,0.004512635379061372,0.002707581227436823,1108
10,Hazardous Components Abatement,8,1.3435227e-05,0.0,0.0,1
10,Hazardous Components Abatement,9,1.1598545e-05,0.0,0.0,1
10,Hazardous Components Abatement,12,1.22525535e-05,0.0,0.0,1
10,Hazardous Waste Remediation,5,1.2786792e-05,0.0,0.0,1
10,Hazardous Waste Remediation,11,1.1228392e-05,0.0,0.0,1
10,Heat Generation Systems,1,0.055662286,0.05733558178752108,0.006745362563237774,593
10,Heat Generation Systems,2,0.03524863,0.03523489932885906,0.003355704697986577,596
10,Heat Generation Systems,3,0.05528956,0.06365159128978225,0.010050251256281407,597
10,Heat Generation Systems,4,0.036034618,0.036020583190394515,0.0,583
10,Heat Generation Systems,5,0.04341654,0.043402777777777776,0.001736111111111111,576
10,Heat Generation Systems,6,0.043643575,0.0506108202443281,0.0017452006980802793,573
10,Heat Generation Systems,7,0.048456047,0.050173010380622836,0.0034602076124567475,578
10,Heat Generation Systems,8,0.05200631,0.0658578856152513,0.0034662045060658577,577
10,Heat Generation Systems,9,0.03396917,0.03735144312393888,0.003395585738539898,589
10,Heat Generation Systems,10,0.02031821,0.02030456852791878,0.00338409475465313,591
10,Heat Generation Systems,11,0.04075926,0.04923599320882852,0.0,589
10,Heat Generation Systems,12,0.018914418,0.020618556701030927,0.005154639175257732,582
10,Inspection,1,1.2135707e-05,0.0,0.0,316
10,Inspection,2,1.20952955e-05,0.0,0.0,313
10,Inspection,3,1.2160574e-05,0.0,0.0,317
10,Inspection,4,1.2232047e-05,0.0,0.0,317
10,Inspection,5,1.2266045e-05,0.0,0.0,315
10,Inspection,6,1.2410886e-05,0.0,0.0,327
10,Inspection,7,1.1940278e-05,0.0,0.0,319
10,Inspection,8,1.1858208e-05,0.0,0.0,331
10,Inspection,9,1.1611461e-05,0.0,0.0,319
10,Inspection,10,1.1311395e-05,0.0,0.0,322
10,Inspection,11,1.1377482e-05,0.0,0.0,320
10,Inspection,12,1.1846157e-05,0.0,0.0,321
10,Institutional Equipment,1,0.065882415,0.0688622754491018,0.0029940119760479044,334
10,Institutional Equipment,2,0.061779004,0.07941176470588235,0.08823529411764706,340
10,Institutional Equipment,3,0.0714428,0.12285714285714286,0.037142857142857144,350
10,Institutional Equipment,4,0.0771567,0.14,0.002857142857142857,350
10,Institutional Equipment,5,0.033148907,0.06325301204819277,0.018072289156626505,332
10,Institutional Equipment,6,0.05358668,0.0744047619047619,0.011904761904761904,336
10,Institutional Equipment,7,0.059716262,0.08059701492537313,0.023880597014925373,335
